Time_Seconds,Total_Counts,Exposure,Counts_Per_Second
0.0,3.0,20.0,0.15
20.0,8.0,20.0,0.4
40.0,5.0,20.0,0.25
60.0,3.0,20.0,0.15
80.0,1.0,20.0,0.05
100.0,3.0,20.0,0.15
120.0,5.0,20.0,0.25
140.0,3.0,20.0,0.15
160.0,3.0,20.0,0.15
180.0,3.0,20.0,0.15
200.0,4.0,20.0,0.2
220.0,8.0,20.0,0.4
240.0,7.0,20.0,0.35
260.0,1.0,20.0,0.05
280.0,1.0,20.0,0.05
300.0,4.0,20.0,0.2
320.0,5.0,20.0,0.25
340.0,7.0,20.0,0.35
360.0,3.0,20.0,0.15
380.0,5.0,20.0,0.25
400.0,1.0,20.0,0.05
420.0,6.0,20.0,0.3
440.0,3.0,20.0,0.15
460.0,4.0,20.0,0.2
480.0,4.0,20.0,0.2
500.0,10.0,20.0,0.5
520.0,1.0,20.0,0.05
540.0,2.0,20.0,0.1
560.0,0.0,20.0,0.0
580.0,5.0,20.0,0.25
600.0,1.0,20.0,0.05
620.0,4.0,20.0,0.2
640.0,2.0,20.0,0.1
660.0,5.0,20.0,0.25
680.0,2.0,20.0,0.1
700.0,2.0,20.0,0.1
720.0,2.0,20.0,0.1
740.0,5.0,20.0,0.25
760.0,3.0,20.0,0.15
780.0,5.0,20.0,0.25
800.0,2.0,20.0,0.1
820.0,6.0,20.0,0.3
840.0,4.0,20.0,0.2
860.0,0.0,20.0,0.0
880.0,1.0,20.0,0.05
900.0,3.0,20.0,0.15
920.0,2.0,20.0,0.1
940.0,3.0,20.0,0.15
960.0,2.0,20.0,0.1
980.0,1.0,20.0,0.05
1000.0,4.0,20.0,0.2
1020.0,3.0,20.0,0.15
1040.0,4.0,20.0,0.2
1060.0,4.0,20.0,0.2
1080.0,2.0,20.0,0.1
1100.0,3.0,20.0,0.15
1120.0,1.0,20.0,0.05
1140.0,5.0,20.0,0.25
1160.0,1.0,20.0,0.05
1180.0,4.0,20.0,0.2
1200.0,5.0,20.0,0.25
1220.0,2.0,20.0,0.1
1240.0,5.0,20.0,0.25
1260.0,3.0,20.0,0.15
1280.0,2.0,20.0,0.1
1300.0,2.0,20.0,0.1
1320.0,2.0,20.0,0.1
1340.0,2.0,20.0,0.1
1360.0,7.0,20.0,0.35
1380.0,4.0,20.0,0.2
1400.0,4.0,20.0,0.2
1420.0,2.0,20.0,0.1
1440.0,3.0,20.0,0.15
1460.0,3.0,20.0,0.15
1480.0,3.0,20.0,0.15
1500.0,7.0,20.0,0.35
1520.0,2.0,20.0,0.1
1540.0,4.0,20.0,0.2
1560.0,4.0,20.0,0.2
1580.0,8.0,20.0,0.4
1600.0,3.0,20.0,0.15
1620.0,4.0,20.0,0.2
1640.0,5.0,20.0,0.25
1660.0,4.0,20.0,0.2
1680.0,5.0,20.0,0.25
1700.0,3.0,20.0,0.15
1720.0,4.0,20.0,0.2
1740.0,2.0,20.0,0.1
1760.0,2.0,20.0,0.1
1780.0,4.0,20.0,0.2
1800.0,5.0,20.0,0.25
1820.0,4.0,20.0,0.2
1840.0,4.0,20.0,0.2
1860.0,2.0,20.0,0.1
1880.0,4.0,20.0,0.2
1900.0,5.0,20.0,0.25
1920.0,3.0,20.0,0.15
1940.0,3.0,20.0,0.15
1960.0,9.0,20.0,0.45
1980.0,0.0,20.0,0.0
2000.0,5.0,20.0,0.25
2020.0,2.0,20.0,0.1
2040.0,6.0,20.0,0.3
2060.0,2.0,20.0,0.1
2080.0,5.0,20.0,0.25
2100.0,7.0,20.0,0.35
2120.0,1.0,20.0,0.05
2140.0,2.0,20.0,0.1
2160.0,2.0,20.0,0.1
2180.0,4.0,20.0,0.2
2200.0,4.0,20.0,0.2
2220.0,3.0,20.0,0.15
2240.0,0.0,20.0,0.0
2260.0,4.0,20.0,0.2
2280.0,7.0,20.0,0.35
2300.0,2.0,20.0,0.1
2320.0,0.0,20.0,0.0
2340.0,4.0,20.0,0.2
2360.0,1.0,20.0,0.05
2380.0,0.0,20.0,0.0
2400.0,2.0,20.0,0.1
2420.0,1.0,20.0,0.05
2440.0,6.0,20.0,0.3
2460.0,1.0,20.0,0.05
2480.0,2.0,20.0,0.1
2500.0,3.0,20.0,0.15
2520.0,1.0,20.0,0.05
2540.0,0.0,20.0,0.0
2560.0,2.0,20.0,0.1
2580.0,2.0,20.0,0.1
2600.0,2.0,20.0,0.1
2620.0,1.0,20.0,0.05
2640.0,2.0,20.0,0.1
2660.0,5.0,20.0,0.25
2680.0,3.0,20.0,0.15
2700.0,1.0,20.0,0.05
2720.0,1.0,20.0,0.05
2740.0,3.0,20.0,0.15
2760.0,5.0,20.0,0.25
2780.0,2.0,20.0,0.1
2800.0,6.0,20.0,0.3
2820.0,0.0,20.0,0.0
2840.0,1.0,20.0,0.05
2860.0,3.0,20.0,0.15
2880.0,3.0,20.0,0.15
2900.0,3.0,20.0,0.15
2920.0,1.0,20.0,0.05
2940.0,5.0,20.0,0.25
2960.0,3.0,20.0,0.15
2980.0,2.0,20.0,0.1
3000.0,2.0,20.0,0.1
3020.0,5.0,20.0,0.25
3040.0,4.0,20.0,0.2
3060.0,3.0,20.0,0.15
3080.0,2.0,20.0,0.1
3100.0,1.0,20.0,0.05
3120.0,3.0,20.0,0.15
3140.0,5.0,20.0,0.25
3160.0,0.0,20.0,0.0
3180.0,6.0,20.0,0.3
3200.0,3.0,20.0,0.15
3220.0,4.0,20.0,0.2
3240.0,3.0,20.0,0.15
3260.0,3.0,20.0,0.15
3280.0,3.0,20.0,0.15
3300.0,8.0,20.0,0.4
3320.0,2.0,20.0,0.1
3340.0,0.0,20.0,0.0
3360.0,3.0,20.0,0.15
3380.0,2.0,20.0,0.1
3400.0,11.0,20.0,0.55
3420.0,8.0,20.0,0.4
3440.0,8.0,20.0,0.4
3460.0,11.0,20.0,0.55
3480.0,4.0,20.0,0.2
3500.0,4.0,20.0,0.2
3520.0,4.0,20.0,0.2
3540.0,7.0,20.0,0.35
3560.0,5.0,20.0,0.25
3580.0,2.0,20.0,0.1
3600.0,0.0,20.0,0.0
3620.0,2.0,20.0,0.1
3640.0,5.0,20.0,0.25
3660.0,3.0,20.0,0.15
3680.0,2.0,20.0,0.1
3700.0,3.0,20.0,0.15
3720.0,1.0,20.0,0.05
3740.0,8.0,20.0,0.4
3760.0,3.0,20.0,0.15
3780.0,5.0,20.0,0.25
3800.0,2.0,20.0,0.1
3820.0,10.0,20.0,0.5
3840.0,2.0,20.0,0.1
3860.0,14.0,20.0,0.7
3880.0,5.0,20.0,0.25
3900.0,5.0,20.0,0.25
3920.0,6.0,20.0,0.3
3940.0,5.0,20.0,0.25
3960.0,7.0,20.0,0.35
3980.0,0.0,20.0,0.0
4000.0,9.0,20.0,0.45
4020.0,3.0,20.0,0.15
4040.0,2.0,20.0,0.1
4060.0,6.0,20.0,0.3
4080.0,6.0,20.0,0.3
4100.0,2.0,20.0,0.1
4120.0,3.0,20.0,0.15
4140.0,3.0,20.0,0.15
4160.0,3.0,20.0,0.15
4180.0,0.0,20.0,0.0
4200.0,1.0,20.0,0.05
4220.0,2.0,20.0,0.1
4240.0,1.0,20.0,0.05
4260.0,1.0,20.0,0.05
4280.0,1.0,20.0,0.05
4300.0,1.0,20.0,0.05
4320.0,5.0,20.0,0.25
4340.0,2.0,20.0,0.1
4360.0,2.0,20.0,0.1
4380.0,3.0,20.0,0.15
4400.0,3.0,20.0,0.15
4420.0,5.0,20.0,0.25
4440.0,2.0,20.0,0.1
4460.0,8.0,20.0,0.4
4480.0,11.0,20.0,0.55
4500.0,5.0,20.0,0.25
4520.0,10.0,20.0,0.5
4540.0,6.0,20.0,0.3
4560.0,6.0,20.0,0.3
4580.0,4.0,20.0,0.2
4600.0,10.0,20.0,0.5
4620.0,3.0,20.0,0.15
4640.0,6.0,20.0,0.3
4660.0,6.0,20.0,0.3
4680.0,6.0,20.0,0.3
4700.0,4.0,20.0,0.2
4720.0,8.0,20.0,0.4
4740.0,5.0,20.0,0.25
4760.0,1.0,20.0,0.05
4780.0,1.0,20.0,0.05
4800.0,3.0,20.0,0.15
4820.0,8.0,20.0,0.4
4840.0,2.0,20.0,0.1
4860.0,4.0,20.0,0.2
4880.0,4.0,20.0,0.2
4900.0,6.0,20.0,0.3
4920.0,2.0,20.0,0.1
4940.0,2.0,20.0,0.1
4960.0,2.0,20.0,0.1
4980.0,2.0,20.0,0.1
5000.0,4.0,20.0,0.2
5020.0,3.0,20.0,0.15
5040.0,5.0,20.0,0.25
5060.0,4.0,20.0,0.2
5080.0,5.0,20.0,0.25
5100.0,3.0,20.0,0.15
5120.0,2.0,20.0,0.1
5140.0,4.0,20.0,0.2
5160.0,3.0,20.0,0.15
5180.0,11.0,20.0,0.55
5200.0,3.0,20.0,0.15
5220.0,6.0,20.0,0.3
5240.0,3.0,20.0,0.15
5260.0,14.0,20.0,0.7
5280.0,2.0,20.0,0.1
5300.0,3.0,20.0,0.15
5320.0,4.0,20.0,0.2
5340.0,5.0,20.0,0.25
5360.0,6.0,20.0,0.3
5380.0,0.0,20.0,0.0
5400.0,4.0,20.0,0.2
5420.0,1.0,20.0,0.05
5440.0,9.0,20.0,0.45
5460.0,6.0,20.0,0.3
5480.0,6.0,20.0,0.3
5500.0,4.0,20.0,0.2
5520.0,5.0,20.0,0.25
5540.0,3.0,20.0,0.15
5560.0,1.0,20.0,0.05
5580.0,6.0,20.0,0.3
5600.0,0.0,20.0,0.0
5620.0,2.0,20.0,0.1
5640.0,3.0,20.0,0.15
5660.0,6.0,20.0,0.3
5680.0,4.0,20.0,0.2
5700.0,3.0,20.0,0.15
5720.0,4.0,20.0,0.2
5740.0,1.0,20.0,0.05
5760.0,7.0,20.0,0.35
5780.0,3.0,20.0,0.15
5800.0,4.0,20.0,0.2
5820.0,1.0,20.0,0.05
5840.0,0.0,20.0,0.0
5860.0,6.0,20.0,0.3
5880.0,2.0,20.0,0.1
5900.0,2.0,20.0,0.1
5920.0,5.0,20.0,0.25
5940.0,7.0,20.0,0.35
5960.0,3.0,20.0,0.15
5980.0,4.0,20.0,0.2
6000.0,2.0,20.0,0.1
6020.0,3.0,20.0,0.15
6040.0,2.0,20.0,0.1
6060.0,3.0,20.0,0.15
6080.0,1.0,20.0,0.05
6100.0,6.0,20.0,0.3
6120.0,1.0,20.0,0.05
6140.0,3.0,20.0,0.15
6160.0,1.0,20.0,0.05
6180.0,5.0,20.0,0.25
6200.0,2.0,20.0,0.1
6220.0,2.0,20.0,0.1
6240.0,2.0,20.0,0.1
6260.0,3.0,20.0,0.15
6280.0,1.0,20.0,0.05
6300.0,2.0,20.0,0.1
6320.0,2.0,20.0,0.1
6340.0,0.0,20.0,0.0
6360.0,3.0,20.0,0.15
6380.0,5.0,20.0,0.25
6400.0,7.0,20.0,0.35
6420.0,4.0,20.0,0.2
6440.0,1.0,20.0,0.05
6460.0,7.0,20.0,0.35
6480.0,4.0,20.0,0.2
6500.0,7.0,20.0,0.35
6520.0,0.0,20.0,0.0
6540.0,0.0,20.0,0.0
6560.0,3.0,20.0,0.15
6580.0,6.0,20.0,0.3
6600.0,2.0,20.0,0.1
6620.0,2.0,20.0,0.1
6640.0,0.0,20.0,0.0
6660.0,2.0,20.0,0.1
6680.0,3.0,20.0,0.15
6700.0,6.0,20.0,0.3
6720.0,3.0,20.0,0.15
6740.0,5.0,20.0,0.25
6760.0,5.0,20.0,0.25
6780.0,7.0,20.0,0.35
6800.0,3.0,20.0,0.15
6820.0,6.0,20.0,0.3
6840.0,7.0,20.0,0.35
6860.0,6.0,20.0,0.3
6880.0,10.0,20.0,0.5
6900.0,6.0,20.0,0.3
6920.0,5.0,20.0,0.25
6940.0,12.0,20.0,0.6
6960.0,2.0,20.0,0.1
6980.0,4.0,20.0,0.2
7000.0,6.0,20.0,0.3
7020.0,4.0,20.0,0.2
7040.0,5.0,20.0,0.25
7060.0,3.0,20.0,0.15
7080.0,2.0,20.0,0.1
7100.0,2.0,20.0,0.1
7120.0,9.0,20.0,0.45
7140.0,1.0,20.0,0.05
7160.0,2.0,20.0,0.1
7180.0,2.0,20.0,0.1
7200.0,6.0,20.0,0.3
7220.0,4.0,20.0,0.2
7240.0,0.0,20.0,0.0
7260.0,2.0,20.0,0.1
7280.0,7.0,20.0,0.35
7300.0,5.0,20.0,0.25
7320.0,8.0,20.0,0.4
7340.0,9.0,20.0,0.45
7360.0,16.0,20.0,0.8
7380.0,4.0,20.0,0.2
7400.0,25.0,20.0,1.25
7420.0,12.0,20.0,0.6
7440.0,25.0,20.0,1.25
7460.0,21.0,20.0,1.05
7480.0,21.0,20.0,1.05
7500.0,23.0,20.0,1.15
7520.0,18.0,20.0,0.9
7540.0,16.0,20.0,0.8
7560.0,28.0,20.0,1.4
7580.0,25.0,20.0,1.25
7600.0,20.0,20.0,1.0
7620.0,36.0,20.0,1.8
7640.0,9.0,20.0,0.45
7660.0,21.0,20.0,1.05
7680.0,9.0,20.0,0.45
7700.0,19.0,20.0,0.95
7720.0,14.0,20.0,0.7
7740.0,14.0,20.0,0.7
7760.0,13.0,20.0,0.65
7780.0,21.0,20.0,1.05
7800.0,17.0,20.0,0.85
7820.0,22.0,20.0,1.1
7840.0,13.0,20.0,0.65
7860.0,31.0,20.0,1.55
7880.0,19.0,20.0,0.95
7900.0,27.0,20.0,1.35
7920.0,10.0,20.0,0.5
7940.0,47.0,20.0,2.35
7960.0,31.0,20.0,1.55
7980.0,62.0,20.0,3.1
8000.0,45.0,20.0,2.25
8020.0,83.0,20.0,4.15
8040.0,51.0,20.0,2.55
8060.0,119.0,20.0,5.95
8080.0,73.0,20.0,3.65
8100.0,96.0,20.0,4.8
8120.0,69.0,20.0,3.45
8140.0,96.0,20.0,4.8
8160.0,103.0,20.0,5.15
8180.0,74.0,20.0,3.7
8200.0,48.0,20.0,2.4
8220.0,70.0,20.0,3.5
8240.0,36.0,20.0,1.8
8260.0,43.0,20.0,2.15
8280.0,53.0,20.0,2.65
8300.0,37.0,20.0,1.85
8320.0,42.0,20.0,2.1
8340.0,25.0,20.0,1.25
8360.0,23.0,20.0,1.15
8380.0,14.0,20.0,0.7
8400.0,21.0,20.0,1.05
8420.0,15.0,20.0,0.75
8440.0,13.0,20.0,0.65
8460.0,17.0,20.0,0.85
8480.0,24.0,20.0,1.2
8500.0,8.0,20.0,0.4
8520.0,18.0,20.0,0.9
8540.0,8.0,20.0,0.4
8560.0,25.0,20.0,1.25
8580.0,8.0,20.0,0.4
8600.0,15.0,20.0,0.75
8620.0,7.0,20.0,0.35
8640.0,17.0,20.0,0.85
8660.0,8.0,20.0,0.4
8680.0,20.0,20.0,1.0
8700.0,8.0,20.0,0.4
8720.0,14.0,20.0,0.7
8740.0,11.0,20.0,0.55
8760.0,14.0,20.0,0.7
8780.0,16.0,20.0,0.8
8800.0,13.0,20.0,0.65
8820.0,5.0,20.0,0.25
8840.0,3.0,20.0,0.15
8860.0,19.0,20.0,0.95
8880.0,5.0,20.0,0.25
8900.0,7.0,20.0,0.35
8920.0,8.0,20.0,0.4
8940.0,12.0,20.0,0.6
8960.0,6.0,20.0,0.3
8980.0,10.0,20.0,0.5
9000.0,5.0,20.0,0.25
9020.0,8.0,20.0,0.4
9040.0,4.0,20.0,0.2
9060.0,4.0,20.0,0.2
9080.0,6.0,20.0,0.3
9100.0,4.0,20.0,0.2
9120.0,7.0,20.0,0.35
9140.0,3.0,20.0,0.15
9160.0,11.0,20.0,0.55
9180.0,2.0,20.0,0.1
9200.0,6.0,20.0,0.3
9220.0,8.0,20.0,0.4
9240.0,7.0,20.0,0.35
9260.0,4.0,20.0,0.2
9280.0,2.0,20.0,0.1
9300.0,3.0,20.0,0.15
9320.0,1.0,20.0,0.05
9340.0,2.0,20.0,0.1
9360.0,7.0,20.0,0.35
9380.0,6.0,20.0,0.3
9400.0,2.0,20.0,0.1
9420.0,4.0,20.0,0.2
9440.0,9.0,20.0,0.45
9460.0,3.0,20.0,0.15
9480.0,5.0,20.0,0.25
9500.0,2.0,20.0,0.1
9520.0,7.0,20.0,0.35
9540.0,4.0,20.0,0.2
9560.0,5.0,20.0,0.25
9580.0,3.0,20.0,0.15
9600.0,6.0,20.0,0.3
9620.0,2.0,20.0,0.1
9640.0,5.0,20.0,0.25
9660.0,2.0,20.0,0.1
9680.0,3.0,20.0,0.15
9700.0,7.0,20.0,0.35
9720.0,3.0,20.0,0.15
9740.0,6.0,20.0,0.3
9760.0,2.0,20.0,0.1
9780.0,4.0,20.0,0.2
9800.0,4.0,20.0,0.2
9820.0,1.0,20.0,0.05
9840.0,2.0,20.0,0.1
9860.0,1.0,20.0,0.05
9880.0,2.0,20.0,0.1
9900.0,3.0,20.0,0.15
9920.0,5.0,20.0,0.25
9940.0,7.0,20.0,0.35
9960.0,0.0,20.0,0.0
9980.0,6.0,20.0,0.3
10000.0,3.0,20.0,0.15
10020.0,5.0,20.0,0.25
10040.0,6.0,20.0,0.3
10060.0,2.0,20.0,0.1
10080.0,3.0,20.0,0.15
10100.0,3.0,20.0,0.15
10120.0,1.0,20.0,0.05
10140.0,3.0,20.0,0.15
10160.0,2.0,20.0,0.1
10180.0,3.0,20.0,0.15
10200.0,4.0,20.0,0.2
10220.0,4.0,20.0,0.2
10240.0,6.0,20.0,0.3
10260.0,5.0,20.0,0.25
10280.0,0.0,20.0,0.0
10300.0,4.0,20.0,0.2
10320.0,5.0,20.0,0.25
10340.0,10.0,20.0,0.5
10360.0,11.0,20.0,0.55
10380.0,4.0,20.0,0.2
10400.0,11.0,20.0,0.55
10420.0,9.0,20.0,0.45
10440.0,7.0,20.0,0.35
10460.0,7.0,20.0,0.35
10480.0,8.0,20.0,0.4
10500.0,8.0,20.0,0.4
10520.0,7.0,20.0,0.35
10540.0,3.0,20.0,0.15
10560.0,4.0,20.0,0.2
10580.0,6.0,20.0,0.3
10600.0,1.0,20.0,0.05
10620.0,8.0,20.0,0.4
10640.0,5.0,20.0,0.25
10660.0,8.0,20.0,0.4
10680.0,3.0,20.0,0.15
10700.0,6.0,20.0,0.3
10720.0,2.0,20.0,0.1
10740.0,0.0,20.0,0.0
10760.0,6.0,20.0,0.3
10780.0,6.0,20.0,0.3
10800.0,3.0,20.0,0.15
10820.0,0.0,20.0,0.0
10840.0,3.0,20.0,0.15
10860.0,7.0,20.0,0.35
10880.0,4.0,20.0,0.2
10900.0,3.0,20.0,0.15
10920.0,6.0,20.0,0.3
10940.0,6.0,20.0,0.3
10960.0,5.0,20.0,0.25
10980.0,4.0,20.0,0.2
11000.0,3.0,20.0,0.15
11020.0,2.0,20.0,0.1
11040.0,1.0,20.0,0.05
11060.0,4.0,20.0,0.2
11080.0,3.0,20.0,0.15
11100.0,4.0,20.0,0.2
11120.0,0.0,20.0,0.0
11140.0,5.0,20.0,0.25
11160.0,2.0,20.0,0.1
11180.0,1.0,20.0,0.05
11200.0,4.0,20.0,0.2
11220.0,0.0,20.0,0.0
11240.0,2.0,20.0,0.1
11260.0,0.0,20.0,0.0
11280.0,3.0,20.0,0.15
11300.0,1.0,20.0,0.05
11320.0,3.0,20.0,0.15
11340.0,3.0,20.0,0.15
11360.0,2.0,20.0,0.1
11380.0,2.0,20.0,0.1
11400.0,6.0,20.0,0.3
11420.0,0.0,20.0,0.0
11440.0,5.0,20.0,0.25
11460.0,1.0,20.0,0.05
11480.0,1.0,20.0,0.05
11500.0,3.0,20.0,0.15
11520.0,3.0,20.0,0.15
11540.0,7.0,20.0,0.35
11560.0,5.0,20.0,0.25
11580.0,7.0,20.0,0.35
11600.0,2.0,20.0,0.1
11620.0,1.0,20.0,0.05
11640.0,2.0,20.0,0.1
11660.0,4.0,20.0,0.2
11680.0,3.0,20.0,0.15
11700.0,5.0,20.0,0.25
11720.0,4.0,20.0,0.2
11740.0,2.0,20.0,0.1
11760.0,1.0,20.0,0.05
11780.0,5.0,20.0,0.25
11800.0,7.0,20.0,0.35
11820.0,8.0,20.0,0.4
11840.0,3.0,20.0,0.15
11860.0,3.0,20.0,0.15
11880.0,9.0,20.0,0.45
11900.0,6.0,20.0,0.3
11920.0,3.0,20.0,0.15
11940.0,0.0,20.0,0.0
11960.0,2.0,20.0,0.1
11980.0,2.0,20.0,0.1
12000.0,7.0,20.0,0.35
12020.0,2.0,20.0,0.1
12040.0,3.0,20.0,0.15
12060.0,3.0,20.0,0.15
12080.0,8.0,20.0,0.4
12100.0,2.0,20.0,0.1
12120.0,5.0,20.0,0.25
12140.0,3.0,20.0,0.15
12160.0,6.0,20.0,0.3
12180.0,4.0,20.0,0.2
12200.0,2.0,20.0,0.1
12220.0,4.0,20.0,0.2
12240.0,3.0,20.0,0.15
12260.0,1.0,20.0,0.05
12280.0,3.0,20.0,0.15
12300.0,2.0,20.0,0.1
12320.0,3.0,20.0,0.15
12340.0,4.0,20.0,0.2
12360.0,4.0,20.0,0.2
12380.0,3.0,20.0,0.15
12400.0,6.0,20.0,0.3
12420.0,1.0,20.0,0.05
12440.0,3.0,20.0,0.15
12460.0,2.0,20.0,0.1
12480.0,3.0,20.0,0.15
12500.0,2.0,20.0,0.1
12520.0,3.0,20.0,0.15
12540.0,4.0,20.0,0.2
12560.0,4.0,20.0,0.2
12580.0,0.0,20.0,0.0
12600.0,1.0,20.0,0.05
12620.0,4.0,20.0,0.2
12640.0,3.0,20.0,0.15
12660.0,2.0,20.0,0.1
12680.0,2.0,20.0,0.1
12700.0,1.0,20.0,0.05
12720.0,7.0,20.0,0.35
12740.0,1.0,20.0,0.05
12760.0,2.0,20.0,0.1
12780.0,2.0,20.0,0.1
12800.0,4.0,20.0,0.2
12820.0,0.0,20.0,0.0
12840.0,7.0,20.0,0.35
12860.0,2.0,20.0,0.1
12880.0,3.0,20.0,0.15
12900.0,2.0,20.0,0.1
12920.0,7.0,20.0,0.35
12940.0,0.0,20.0,0.0
12960.0,0.0,20.0,0.0
12980.0,5.0,20.0,0.25
13000.0,0.0,20.0,0.0
13020.0,4.0,20.0,0.2
13040.0,6.0,20.0,0.3
13060.0,1.0,20.0,0.05
13080.0,3.0,20.0,0.15
13100.0,3.0,20.0,0.15
13120.0,5.0,20.0,0.25
13140.0,2.0,20.0,0.1
13160.0,2.0,20.0,0.1
13180.0,2.0,20.0,0.1
13200.0,7.0,20.0,0.35
13220.0,3.0,20.0,0.15
13240.0,5.0,20.0,0.25
13260.0,4.0,20.0,0.2
13280.0,3.0,20.0,0.15
13300.0,1.0,20.0,0.05
13320.0,2.0,20.0,0.1
13340.0,1.0,20.0,0.05
13360.0,7.0,20.0,0.35
13380.0,3.0,20.0,0.15
13400.0,1.0,20.0,0.05
13420.0,1.0,20.0,0.05
13440.0,4.0,20.0,0.2
13460.0,1.0,20.0,0.05
13480.0,4.0,20.0,0.2
13500.0,1.0,20.0,0.05
13520.0,5.0,20.0,0.25
13540.0,3.0,20.0,0.15
13560.0,3.0,20.0,0.15
13580.0,4.0,20.0,0.2
13600.0,0.0,20.0,0.0
13620.0,7.0,20.0,0.35
13640.0,2.0,20.0,0.1
13660.0,3.0,20.0,0.15
13680.0,5.0,20.0,0.25
13700.0,4.0,20.0,0.2
13720.0,1.0,20.0,0.05
13740.0,5.0,20.0,0.25
13760.0,2.0,20.0,0.1
13780.0,2.0,20.0,0.1
13800.0,5.0,20.0,0.25
13820.0,4.0,20.0,0.2
13840.0,3.0,20.0,0.15
13860.0,2.0,20.0,0.1
13880.0,1.0,20.0,0.05
13900.0,4.0,20.0,0.2
13920.0,5.0,20.0,0.25
13940.0,4.0,20.0,0.2
13960.0,2.0,20.0,0.1
13980.0,4.0,20.0,0.2
14000.0,3.0,20.0,0.15
14020.0,3.0,20.0,0.15
14040.0,6.0,20.0,0.3
14060.0,0.0,20.0,0.0
14080.0,6.0,20.0,0.3
14100.0,3.0,20.0,0.15
14120.0,7.0,20.0,0.35
14140.0,1.0,20.0,0.05
14160.0,6.0,20.0,0.3
14180.0,3.0,20.0,0.15
14200.0,2.0,20.0,0.1
14220.0,7.0,20.0,0.35
14240.0,2.0,20.0,0.1
14260.0,0.0,20.0,0.0
14280.0,1.0,20.0,0.05
14300.0,3.0,20.0,0.15
14320.0,5.0,20.0,0.25
14340.0,4.0,20.0,0.2
14360.0,3.0,20.0,0.15
14380.0,1.0,20.0,0.05
14400.0,4.0,20.0,0.2
14420.0,3.0,20.0,0.15
14440.0,1.0,20.0,0.05
14460.0,6.0,20.0,0.3
14480.0,3.0,20.0,0.15
14500.0,3.0,20.0,0.15
14520.0,3.0,20.0,0.15
14540.0,3.0,20.0,0.15
14560.0,4.0,20.0,0.2
14580.0,3.0,20.0,0.15
14600.0,1.0,20.0,0.05
